CELL_ID,CLUSTER_LABEL
1,Tumor (Podo+)
2,Tumor (CD20+)
3,CD4 T cell
4,CD4 T cell
5,Tumor (Ki67+)
6,CD4 T cell
7,Stromal / Fibroblast
8,Stromal / Fibroblast
9,Tumor (CD21+)
10,Tumor (CD21+)
11,Tumor (CD20+)
12,Tumor (CD20+)
13,Tumor (CD20+)
14,Tumor (Ki67+)
15,Tumor (CD21+)
16,Naive immune cell
17,Macrophage
18,Stromal / Fibroblast
19,Tumor (CD21+)
20,Tumor (Ki67+)
21,Tumor (CD20+)
22,Macrophage
23,Stromal / Fibroblast
24,Tumor (CD20+)
25,Tumor (CD20+)
26,CD4 T cell
27,Tumor (CD20+)
28,Tumor (CD21+)
29,Tumor (CD20+)
30,Tumor (Ki67+)
31,Stromal / Fibroblast
32,Stromal / Fibroblast
33,Tumor (CD20+)
34,Stromal / Fibroblast
35,Tumor (Podo+)
36,Macrophage
37,Tumor (Ki67+)
38,Naive immune cell
39,B cell
40,Naive immune cell
41,Stromal / Fibroblast
42,Tumor (CD20+)
43,Tumor
44,APC
45,Lymph vessel
46,Tumor (CD21+)
47,Macrophage
48,Naive immune cell
49,Tumor (CD20+)
50,Tumor (CD21+)
51,Tumor (CD21+)
52,Tumor (CD20+)
53,Stromal / Fibroblast
54,B cell
55,CD8 T cell
56,Tumor
57,Tumor (CD21+)
58,Tumor (CD20+)
59,Tumor (Podo+)
60,Tumor (CD21+)
61,APC
62,Tumor (Podo+)
63,Tumor (CD21+)
64,CD4 T cell
65,Tumor (CD21+)
66,Tumor (CD20+)
67,Tumor (Podo+)
68,Tumor (Podo+)
69,Tumor (CD20+)
70,Stromal / Fibroblast
71,Stromal / Fibroblast
72,CD4 T cell
73,Tumor (Podo+)
74,Macrophage
75,Tumor (CD20+)
76,Stromal / Fibroblast
77,APC
78,Tumor (Podo+)
79,Tumor (Podo+)
80,Tumor (CD20+)
81,Stromal / Fibroblast
82,Macrophage
83,Tumor (Ki67+)
84,Tumor (Ki67+)
85,CD8 T cell
87,Stromal / Fibroblast
88,Stromal / Fibroblast
89,Tumor (CD20+)
90,Tumor (Ki67+)
91,Tumor (Ki67+)
92,Tumor (CD21+)
93,Tumor (CD21+)
94,Macrophage
95,CD4 T cell
96,CD8 T cell
97,Vessel
98,Tumor
99,Tumor (Podo+)
100,Tumor (Ki67+)
101,CD4 T cell
102,Stromal / Fibroblast
103,Naive immune cell
104,Tumor (CD21+)
105,Tumor
106,Stromal / Fibroblast
107,Tumor (CD20+)
108,Tumor (CD21+)
109,Tumor (CD20+)
110,B cell
111,Stromal / Fibroblast
112,Macrophage
113,Tumor (CD21+)
114,Stromal / Fibroblast
115,Tumor (CD20+)
116,Macrophage
117,Macrophage
118,CD8 T cell
119,Macrophage
120,B cell
121,Tumor (CD20+)
122,Tumor (CD20+)
123,Tumor (CD21+)
124,Tumor (CD21+)
125,CD4 T cell
126,Macrophage
127,Tumor (Podo+)
128,CD8 T cell
129,Tumor (CD21+)
130,Macrophage
131,CD4 T cell
132,Tumor (CD20+)
133,Macrophage
134,Tumor (CD20+)
135,Tumor (Podo+)
136,Macrophage
137,Stromal / Fibroblast
138,Tumor (CD21+)
139,Tumor (CD20+)
140,Stromal / Fibroblast
141,Stromal / Fibroblast
142,Tumor (CD20+)
143,Granulocyte
144,CD8 T cell
145,Tumor (CD20+)
146,Tumor (CD21+)
147,Macrophage
148,Tumor (CD20+)
149,Tumor (Podo+)
150,Tumor (Podo+)
151,Tumor
152,Vessel
153,Lymph vessel
154,Tumor (CD21+)
155,CD8 T cell
156,CD8 T cell
157,Tumor
158,Stromal / Fibroblast
159,Stromal / Fibroblast
160,Tumor (CD20+)
161,Tumor (Ki67+)
162,Macrophage
163,Naive immune cell
164,Tumor
165,Macrophage
166,Tumor (CD21+)
167,Macrophage
168,Tumor (CD20+)
169,CD4 T cell
170,Lymph vessel
171,Tumor (CD21+)
172,Tumor (CD21+)
173,Macrophage
174,Stromal / Fibroblast
175,Macrophage
176,Tumor (Ki67+)
177,APC
178,Stromal / Fibroblast
179,Stromal / Fibroblast
180,Naive immune cell
181,Tumor (Podo+)
182,Stromal / Fibroblast
183,Tumor (Podo+)
184,Stromal / Fibroblast
185,Tumor (CD21+)
186,Tumor (CD21+)
187,Stromal / Fibroblast
188,CD4 T cell
190,Tumor (Podo+)
191,Macrophage
192,Tumor (CD21+)
193,Granulocyte
194,APC
195,Tumor (CD21+)
196,CD8 T cell
197,Tumor (CD20+)
198,Stromal / Fibroblast
199,B cell
200,CD4 T cell
201,Macrophage
202,Tumor (CD21+)
203,Tumor
204,Macrophage
205,Granulocyte
206,Tumor (CD20+)
207,Tumor (CD21+)
208,Macrophage
209,Macrophage
210,Macrophage
211,Tumor (Podo+)
212,Tumor (CD21+)
213,Macrophage
215,Stromal / Fibroblast
216,CD4 T cell
217,APC
218,Stromal / Fibroblast
219,Stromal / Fibroblast
221,Stromal / Fibroblast
222,Tumor (CD21+)
223,Tumor (CD21+)
224,Tumor (Podo+)
225,Tumor (CD15+)
226,Tumor
227,CD4 T cell
228,Stromal / Fibroblast
229,Tumor (CD20+)
230,Tumor (Podo+)
231,Stromal / Fibroblast
232,Tumor (CD21+)
233,Tumor (CD20+)
234,Tumor (Podo+)
235,Tumor (CD20+)
236,Stromal / Fibroblast
237,Tumor (CD20+)
238,Tumor (CD15+)
239,CD4 T cell
240,Stromal / Fibroblast
241,Macrophage
242,CD8 T cell
243,Tumor (Ki67+)
244,Tumor (CD21+)
245,Stromal / Fibroblast
246,Tumor (CD21+)
247,Tumor
248,Stromal / Fibroblast
249,Tumor (Podo+)
250,Stromal / Fibroblast
252,Stromal / Fibroblast
253,Tumor (CD21+)
254,Tumor (Ki67+)
255,Stromal / Fibroblast
256,Tumor
257,Naive immune cell
258,Tumor (CD21+)
259,Macrophage
260,Tumor (Podo+)
261,Macrophage
262,Tumor (CD21+)
263,Tumor
264,Tumor (Podo+)
265,Tumor (CD20+)
266,Tumor (Podo+)
267,Tumor (Ki67+)
268,Macrophage
269,Tumor (Podo+)
270,Stromal / Fibroblast
271,APC
272,Tumor (Ki67+)
273,CD8 T cell
274,Stromal / Fibroblast
275,Tumor
276,Tumor (Ki67+)
277,CD4 T cell
278,Stromal / Fibroblast
280,Tumor (CD20+)
281,Tumor (Podo+)
282,Macrophage
283,Tumor (CD21+)
284,Tumor
285,Tumor (CD20+)
286,Macrophage
287,Stromal / Fibroblast
288,B cell
289,Tumor (CD21+)
290,Stromal / Fibroblast
291,Tumor
292,Tumor (CD21+)
293,Macrophage
294,B cell
295,Macrophage
296,Stromal / Fibroblast
297,Macrophage
298,Tumor (CD20+)
299,Stromal / Fibroblast
300,Tumor (CD21+)
301,Tumor (CD21+)
302,Tumor
303,CD4 T cell
304,CD4 T cell
305,Tumor (Ki67+)
306,Tumor (CD20+)
307,Granulocyte
308,Tumor (CD21+)
309,Tumor (CD20+)
310,Tumor
311,Tumor (Ki67+)
312,CD4 T cell
313,Tumor (Ki67+)
314,Stromal / Fibroblast
316,Tumor (Podo+)
317,Tumor
318,Tumor (Podo+)
319,Vessel
320,Tumor (CD21+)
321,Macrophage
322,Stromal / Fibroblast
323,CD4 T cell
324,Stromal / Fibroblast
325,Stromal / Fibroblast
326,Tumor (CD21+)
327,Lymph vessel
328,Tumor (Ki67+)
329,Stromal / Fibroblast
330,Tumor (Ki67+)
331,Tumor (CD20+)
332,Tumor (CD21+)
333,Stromal / Fibroblast
334,B cell
335,APC
336,Tumor (CD20+)
337,Stromal / Fibroblast
338,Stromal / Fibroblast
339,Tumor (Ki67+)
340,Stromal / Fibroblast
341,Tumor (CD21+)
342,Tumor (Ki67+)
343,Tumor (Podo+)
344,Tumor
345,Tumor
346,Macrophage
347,CD8 T cell
349,Tumor (CD21+)
350,Macrophage
351,Stromal / Fibroblast
352,Tumor (CD21+)
353,Tumor (CD21+)
354,Stromal / Fibroblast
355,Tumor
356,Tumor (CD21+)
357,Tumor
358,Stromal / Fibroblast
359,Tumor (CD21+)
360,Tumor (CD21+)
361,Tumor
362,Naive immune cell
363,CD4 T cell
364,Tumor (CD21+)
365,Stromal / Fibroblast
366,Vessel
367,Tumor
368,Tumor (Ki67+)
369,Stromal / Fibroblast
370,B cell
371,Naive immune cell
373,Tumor (Ki67+)
374,Tumor (CD21+)
375,Tumor (CD21+)
376,Stromal / Fibroblast
377,Stromal / Fibroblast
378,Tumor (Ki67+)
379,CD4 T cell
380,Macrophage
381,Tumor (Ki67+)
382,Tumor
383,Tumor (CD21+)
384,Tumor (CD20+)
385,Tumor
386,Vessel
387,Tumor (CD21+)
388,Tumor
390,B cell
391,Vessel
392,Tumor (CD21+)
393,Tumor (CD21+)
394,CD4 T cell
395,Stromal / Fibroblast
396,Macrophage
397,Tumor (CD21+)
398,CD4 T cell
399,Naive immune cell
400,Vessel
401,Tumor
402,Macrophage
403,Tumor (CD20+)
404,Stromal / Fibroblast
405,Tumor
406,Tumor (Ki67+)
407,Stromal / Fibroblast
408,Tumor (Ki67+)
409,Tumor (CD20+)
410,Tumor (CD21+)
411,Stromal / Fibroblast
412,Tumor (CD21+)
414,Tumor (Ki67+)
415,Tumor
416,Stromal / Fibroblast
417,Tumor (Ki67+)
419,Macrophage
420,Tumor
421,Tumor (CD21+)
422,Granulocyte
423,Tumor (Podo+)
425,Tumor (Podo+)
426,Tumor (Ki67+)
427,CD4 T cell
428,Stromal / Fibroblast
430,Stromal / Fibroblast
431,Macrophage
432,Tumor (CD21+)
433,Tumor (CD20+)
434,Tumor (Ki67+)
435,Stromal / Fibroblast
436,Tumor
437,Tumor (CD20+)
438,Tumor (CD21+)
439,Tumor (CD21+)
440,Stromal / Fibroblast
441,Lymph vessel
442,Tumor (CD21+)
443,Tumor
444,Vessel
445,Stromal / Fibroblast
446,Tumor (CD20+)
447,Tumor
448,Macrophage
450,Macrophage
451,Tumor (CD21+)
452,Naive immune cell
453,Tumor (CD20+)
454,Stromal / Fibroblast
455,Tumor (Podo+)
456,Macrophage
458,CD4 T cell
459,Naive immune cell
460,Stromal / Fibroblast
461,Naive immune cell
462,Tumor (CD20+)
463,Lymph vessel
464,Macrophage
465,Lymph vessel
466,Stromal / Fibroblast
467,Macrophage
468,CD8 T cell
469,Macrophage
470,Tumor (CD21+)
471,CD8 T cell
472,Tumor (CD21+)
473,Tumor (CD21+)
474,Tumor (CD20+)
475,Stromal / Fibroblast
476,Macrophage
477,Tumor (Ki67+)
478,Tumor
479,Tumor (Ki67+)
480,Naive immune cell
481,Stromal / Fibroblast
483,Tumor (CD21+)
484,Vessel
485,Macrophage
486,Tumor
487,Macrophage
488,Stromal / Fibroblast
489,Tumor (Podo+)
490,Tumor (CD20+)
491,Macrophage
493,CD8 T cell
494,Granulocyte
495,Macrophage
496,Stromal / Fibroblast
497,Macrophage
498,Naive immune cell
499,B cell
500,Macrophage
501,Tumor
502,Macrophage
503,B cell
504,CD4 T cell
505,Tumor (Ki67+)
507,Tumor (CD20+)
508,Tumor (Ki67+)
509,Tumor (CD20+)
510,Lymph vessel
511,Stromal / Fibroblast
512,Vessel
513,Stromal / Fibroblast
514,Macrophage
515,Tumor (CD20+)
516,Tumor (Podo+)
517,Tumor (Ki67+)
518,Tumor (Ki67+)
519,Tumor (Podo+)
520,Macrophage
521,Tumor (Ki67+)
522,Macrophage
523,Macrophage
524,Tumor (CD20+)
525,Tumor (Ki67+)
526,Macrophage
527,Tumor
528,Tumor (Podo+)
529,Tumor (CD20+)
530,Tumor (CD21+)
531,Tumor (CD21+)
532,Tumor (Podo+)
533,Tumor
534,Tumor
535,Stromal / Fibroblast
536,Tumor
537,Naive immune cell
538,CD4 T cell
539,B cell
540,Tumor (CD21+)
541,Macrophage
542,Tumor (CD20+)
543,Tumor (Podo+)
544,CD4 T cell
545,Tumor (Ki67+)
546,Tumor (Ki67+)
547,Tumor (Ki67+)
548,Tumor (Podo+)
549,Tumor (CD20+)
550,Macrophage
551,Macrophage
552,Granulocyte
553,Tumor (Ki67+)
554,Tumor
555,Tumor
556,Macrophage
557,Macrophage
558,Tumor
559,Tumor
560,Vessel
561,Macrophage
562,APC
563,Stromal / Fibroblast
565,Macrophage
566,Tumor (Podo+)
567,APC
568,Tumor (Ki67+)
569,Macrophage
570,CD8 T cell
571,Tumor
572,Macrophage
573,Tumor
574,Tumor (Podo+)
575,Tumor (CD21+)
576,Tumor (CD21+)
577,Tumor (Podo+)
578,Tumor (Podo+)
579,Vessel
580,Stromal / Fibroblast
581,Tumor
582,Tumor (CD21+)
583,Macrophage
584,Macrophage
585,Tumor (CD20+)
586,Tumor (CD21+)
587,Tumor (Podo+)
588,Tumor (CD20+)
589,Macrophage
590,Tumor (Ki67+)
591,Tumor (Podo+)
592,Macrophage
593,Macrophage
594,Vessel
595,Vessel
596,CD8 T cell
597,Tumor (CD20+)
598,Macrophage
599,Tumor (Podo+)
600,Macrophage
601,B cell
602,Macrophage
603,Tumor (Podo+)
604,Tumor (CD20+)
605,B cell
606,Stromal / Fibroblast
607,Macrophage
608,Macrophage
609,CD4 T cell
610,Stromal / Fibroblast
611,Macrophage
612,Tumor (Ki67+)
613,Macrophage
614,Tumor (Ki67+)
615,Tumor
616,Tumor
617,Stromal / Fibroblast
618,Tumor (Podo+)
619,Lymph vessel
620,Tumor (CD20+)
621,Granulocyte
622,Macrophage
623,Macrophage
624,B cell
625,Tumor (Podo+)
626,Tumor (CD20+)
627,Tumor (Podo+)
628,Tumor (Ki67+)
629,Tumor (Podo+)
630,Macrophage
631,CD4 T cell
632,CD4 T cell
633,Tumor
634,Granulocyte
635,Tumor (Podo+)
636,Tumor (Podo+)
637,Lymph vessel
638,Tumor (Ki67+)
639,Stromal / Fibroblast
640,Tumor (CD21+)
641,Tumor (Podo+)
642,Tumor (Podo+)
643,Tumor (CD20+)
644,Tumor (Podo+)
645,Tumor (CD21+)
646,Lymph vessel
647,Stromal / Fibroblast
648,Macrophage
649,CD4 T cell
650,Tumor (Podo+)
651,Macrophage
652,Stromal / Fibroblast
653,CD4 T cell
654,CD4 T cell
655,Macrophage
656,Stromal / Fibroblast
657,Macrophage
658,CD8 T cell
659,Stromal / Fibroblast
660,Macrophage
661,Tumor (Podo+)
662,Vessel
663,Tumor (Podo+)
664,Tumor (Podo+)
665,Naive immune cell
666,Macrophage
667,Stromal / Fibroblast
668,Macrophage
669,Tumor (CD20+)
670,Stromal / Fibroblast
671,B cell
672,CD8 T cell
673,Stromal / Fibroblast
674,Tumor
675,Macrophage
676,Stromal / Fibroblast
678,Tumor (Ki67+)
679,Macrophage
680,B cell
681,Macrophage
682,Tumor
683,Stromal / Fibroblast
684,Granulocyte
685,Macrophage
686,Lymph vessel
687,Naive immune cell
688,Vessel
689,Tumor (CD20+)
691,Stromal / Fibroblast
692,Macrophage
693,Macrophage
694,Tumor (Ki67+)
695,CD4 T cell
696,Tumor
697,Tumor
699,Tumor (Podo+)
700,Tumor (CD21+)
701,Tumor (Ki67+)
702,Macrophage
703,Tumor (Ki67+)
704,APC
705,Tumor
706,Tumor (Ki67+)
707,Granulocyte
708,B cell
709,Tumor (Podo+)
710,Tumor (CD21+)
711,Stromal / Fibroblast
712,Macrophage
713,Stromal / Fibroblast
714,Stromal / Fibroblast
715,Stromal / Fibroblast
716,Macrophage
717,Stromal / Fibroblast
718,Tumor (CD21+)
719,Tumor (CD21+)
720,Tumor
722,Lymph vessel
723,Macrophage
724,Naive immune cell
725,Stromal / Fibroblast
726,Tumor (CD20+)
727,Tumor (Podo+)
728,Tumor
729,Stromal / Fibroblast
730,Tumor (CD15+)
731,Tumor (Ki67+)
732,Tumor (Podo+)
733,Tumor
734,Tumor
735,Macrophage
736,CD4 T cell
738,Lymph vessel
739,Tumor
740,Vessel
741,Tumor (CD21+)
742,Stromal / Fibroblast
743,Macrophage
744,Macrophage
745,CD4 T cell
746,Tumor (Ki67+)
747,Tumor
748,Tumor (Podo+)
749,Tumor
751,Naive immune cell
752,Tumor (CD20+)
753,Tumor (Podo+)
754,Stromal / Fibroblast
755,Tumor (CD20+)
756,Tumor (Ki67+)
757,CD4 T cell
758,Tumor (Podo+)
759,Tumor (Podo+)
760,Tumor (CD15+)
761,Macrophage
762,Tumor
763,Tumor
764,Macrophage
766,Macrophage
767,Tumor (CD21+)
768,Tumor
769,Stromal / Fibroblast
770,Tumor
771,Stromal / Fibroblast
772,Tumor (CD21+)
773,Tumor (Podo+)
774,Macrophage
775,Stromal / Fibroblast
776,Stromal / Fibroblast
777,Stromal / Fibroblast
778,Tumor (Ki67+)
779,Naive immune cell
781,Vessel
782,Tumor
783,Tumor (Podo+)
784,Tumor (CD20+)
785,Granulocyte
786,Granulocyte
788,Stromal / Fibroblast
789,Macrophage
790,Stromal / Fibroblast
791,Tumor
792,Macrophage
793,Tumor (CD20+)
794,Tumor (CD20+)
795,Vessel
796,Tumor (CD20+)
797,Stromal / Fibroblast
798,Tumor (Ki67+)
799,Stromal / Fibroblast
800,Tumor (CD20+)
801,Tumor (Podo+)
802,Stromal / Fibroblast
803,Tumor (Ki67+)
804,Stromal / Fibroblast
805,Naive immune cell
806,Tumor
807,Tumor (CD20+)
808,APC
809,Lymph vessel
810,Stromal / Fibroblast
811,Macrophage
813,Stromal / Fibroblast
814,Stromal / Fibroblast
815,CD4 T cell
816,Stromal / Fibroblast
817,Macrophage
818,Lymph vessel
819,CD8 T cell
820,Tumor (Ki67+)
821,Tumor
822,Macrophage
823,Tumor (Podo+)
824,Macrophage
825,Lymph vessel
826,Stromal / Fibroblast
827,Macrophage
828,Stromal / Fibroblast
829,Macrophage
830,Tumor (CD20+)
831,APC
832,Stromal / Fibroblast
833,Tumor (CD21+)
834,Stromal / Fibroblast
835,Stromal / Fibroblast
836,Tumor (Ki67+)
837,Tumor (Ki67+)
838,Stromal / Fibroblast
839,Tumor
840,Tumor (CD20+)
841,Tumor (CD20+)
842,Tumor (Podo+)
843,Tumor (CD20+)
844,Tumor (CD20+)
845,Stromal / Fibroblast
847,Stromal / Fibroblast
848,Tumor (CD20+)
849,Tumor (CD21+)
850,Tumor
851,Vessel
852,Stromal / Fibroblast
853,Tumor (Podo+)
854,Tumor (Podo+)
855,Macrophage
856,B cell
858,Granulocyte
861,Tumor (Ki67+)
862,Tumor (CD21+)
863,Macrophage
864,Stromal / Fibroblast
865,Stromal / Fibroblast
866,Naive immune cell
867,Macrophage
868,Tumor (CD15+)
869,Tumor (Ki67+)
870,Tumor
871,Macrophage
872,Tumor (CD20+)
873,Tumor (CD21+)
874,Macrophage
875,Naive immune cell
876,Tumor (CD21+)
877,Macrophage
878,Macrophage
879,CD8 T cell
880,Vessel
881,Granulocyte
882,Tumor
883,Lymph vessel
884,Macrophage
885,Stromal / Fibroblast
886,Granulocyte
887,Stromal / Fibroblast
888,Macrophage
889,Tumor (Ki67+)
890,Tumor (Podo+)
891,CD8 T cell
892,Tumor (CD21+)
893,Macrophage
894,Stromal / Fibroblast
895,Tumor (Ki67+)
896,Macrophage
897,Vessel
898,Stromal / Fibroblast
899,Tumor (Ki67+)
900,Macrophage
901,Tumor
902,Tumor (CD21+)
903,Granulocyte
904,Stromal / Fibroblast
905,Stromal / Fibroblast
906,Tumor (Ki67+)
907,Granulocyte
908,Tumor (CD20+)
909,Tumor (Podo+)
910,Granulocyte
911,Naive immune cell
912,CD8 T cell
913,Tumor (Podo+)
914,Macrophage
915,Tumor (CD20+)
916,Stromal / Fibroblast
917,Tumor (CD20+)
918,Tumor (Podo+)
920,Macrophage
921,Tumor
922,Tumor (CD15+)
923,Macrophage
924,Macrophage
925,Tumor (Podo+)
926,CD8 T cell
927,Macrophage
928,Tumor (Ki67+)
929,Tumor
930,Tumor (Podo+)
931,Stromal / Fibroblast
932,Macrophage
933,Stromal / Fibroblast
934,Vessel
935,Granulocyte
936,Stromal / Fibroblast
937,Tumor (CD21+)
938,Macrophage
939,Macrophage
940,Granulocyte
941,CD8 T cell
942,Tumor (CD21+)
943,Stromal / Fibroblast
944,Stromal / Fibroblast
945,CD8 T cell
946,Tumor (Podo+)
947,Vessel
948,Tumor (CD15+)
949,Tumor (Ki67+)
950,CD8 T cell
951,Macrophage
952,Stromal / Fibroblast
953,Tumor (CD21+)
954,Tumor
955,Macrophage
956,Stromal / Fibroblast
957,CD8 T cell
958,Tumor
959,Tumor (Podo+)
960,Tumor (Ki67+)
961,Vessel
962,Tumor (Podo+)
963,Tumor (Podo+)
964,Stromal / Fibroblast
965,Tumor (CD20+)
966,Vessel
967,Stromal / Fibroblast
969,Tumor
970,Tumor (CD21+)
971,Macrophage
972,Lymph vessel
973,Granulocyte
974,Stromal / Fibroblast
975,Macrophage
976,Macrophage
977,Tumor (Ki67+)
978,Tumor (Ki67+)
979,Tumor (CD20+)
980,Tumor (CD21+)
981,Macrophage
982,CD8 T cell
983,Stromal / Fibroblast
984,Macrophage
985,CD8 T cell
986,Tumor (CD20+)
987,Tumor (CD21+)
988,Tumor (Podo+)
989,Tumor
990,Tumor
991,Granulocyte
992,Granulocyte
993,Tumor (Podo+)
994,Stromal / Fibroblast
995,Tumor
996,Tumor (Podo+)
997,Macrophage
998,Macrophage
999,Tumor (CD21+)
1001,Macrophage
1002,Stromal / Fibroblast
1003,Tumor
1004,Stromal / Fibroblast
1005,Tumor (CD20+)
1006,Tumor
1007,Granulocyte
1008,Tumor
1009,Vessel
1010,Stromal / Fibroblast
1011,Tumor
1012,Tumor (CD20+)
1013,Tumor (CD21+)
1014,Stromal / Fibroblast
1015,CD4 T cell
1016,Macrophage
1017,Vessel
1018,Stromal / Fibroblast
1019,CD8 T cell
1020,Tumor (CD15+)
1021,Naive immune cell
1022,Tumor
1023,Tumor (CD20+)
1024,Tumor (Podo+)
1025,Tumor
1027,Stromal / Fibroblast
1028,Tumor (Ki67+)
1029,Tumor (Ki67+)
1030,APC
1031,Naive immune cell
1032,Stromal / Fibroblast
1033,Tumor (Ki67+)
1034,Tumor
1035,Tumor (CD15+)
1036,Tumor
1037,Tumor (CD20+)
1038,Tumor (CD21+)
1039,Tumor (CD15+)
1040,Tumor (CD15+)
1041,Tumor (Podo+)
1042,Stromal / Fibroblast
1043,Granulocyte
1044,Stromal / Fibroblast
1045,Tumor
1046,Stromal / Fibroblast
1047,Tumor (Podo+)
1048,Stromal / Fibroblast
1049,Vessel
1050,Tumor
1051,Tumor (Ki67+)
1052,Tumor
1053,CD8 T cell
1054,Macrophage
1055,Tumor
1056,Granulocyte
1057,Tumor (Podo+)
1058,Tumor (CD20+)
1059,Tumor
1060,Macrophage
1061,Macrophage
1062,Tumor (Podo+)
1063,CD4 T cell
1064,Tumor (CD20+)
1065,Tumor (CD20+)
1066,Stromal / Fibroblast
1067,Stromal / Fibroblast
1068,CD8 T cell
1069,Stromal / Fibroblast
1070,CD4 T cell
1071,Tumor
1072,Macrophage
1073,Tumor (Podo+)
1074,Stromal / Fibroblast
1075,Granulocyte
1076,Stromal / Fibroblast
1077,Tumor (CD21+)
1078,Tumor (CD20+)
1079,Macrophage
1081,CD4 T cell
1082,APC
1083,Stromal / Fibroblast
1084,Tumor (CD21+)
1085,Stromal / Fibroblast
1086,Tumor (Ki67+)
1087,CD8 T cell
1088,Tumor (CD20+)
1090,Granulocyte
1091,APC
1092,Stromal / Fibroblast
1093,Stromal / Fibroblast
1094,Tumor (Podo+)
1095,Tumor
1096,Stromal / Fibroblast
1097,Tumor
1098,Tumor (CD20+)
1099,Tumor
1100,Tumor
1101,Tumor (Podo+)
1102,Tumor (CD20+)
1103,Lymph vessel
1104,Macrophage
1105,Tumor (CD20+)
1106,Macrophage
1107,CD4 T cell
1108,Macrophage
1109,Stromal / Fibroblast
1110,Stromal / Fibroblast
1111,Tumor
1113,Tumor (Podo+)
1114,CD4 T cell
1115,APC
1116,Macrophage
1117,Tumor (Podo+)
1118,Stromal / Fibroblast
1119,APC
1120,Stromal / Fibroblast
1121,Tumor
1122,Tumor (Ki67+)
1123,Tumor
1124,Tumor (Podo+)
1125,CD8 T cell
1126,Tumor (Podo+)
1127,Tumor (CD20+)
1128,Stromal / Fibroblast
1129,Tumor
1130,Stromal / Fibroblast
1131,Tumor
1132,Macrophage
1133,Tumor (Ki67+)
1134,Tumor (CD20+)
1135,Lymph vessel
1136,Lymph vessel
1137,Macrophage
1138,Tumor
1139,Stromal / Fibroblast
1140,Tumor (Ki67+)
1141,Stromal / Fibroblast
1142,Tumor
1143,Tumor
1144,Tumor (Ki67+)
1145,Macrophage
1146,Tumor (CD20+)
1147,Tumor (CD21+)
1149,Stromal / Fibroblast
1150,Stromal / Fibroblast
1151,Tumor (Ki67+)
1152,Granulocyte
1153,Macrophage
1154,Tumor (Ki67+)
1155,Tumor
1156,Tumor
1157,Tumor (Podo+)
1158,Tumor (CD21+)
1159,Tumor
1160,Granulocyte
